Team,GP,WIN%,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,Season,GP_15,WIN%_15,OFFRTG_15,DEFRTG_15,NETRTG_15,W_Post
Sacramento Kings,57,0.42100000000000004,0.512,0.298,0.152,0.26899999999999996,0.531,0.306,0.153,0.268,2016-17,18,0.444,107.2,110.4,-3.2,8
San Antonio Spurs,56,0.768,0.529,0.276,0.138,0.278,0.49200000000000005,0.258,0.151,0.263,2016-17,16,0.75,108.8,101.3,7.5,18
Toronto Raptors,57,0.579,0.518,0.297,0.127,0.28800000000000003,0.514,0.29,0.157,0.294,2016-17,18,0.389,107.5,108.8,-1.4,18
Utah Jazz,57,0.614,0.524,0.298,0.146,0.262,0.489,0.252,0.133,0.259,2016-17,15,0.6,109.8,104.4,5.4,16
Washington Wizards,55,0.618,0.529,0.244,0.146,0.28300000000000003,0.514,0.282,0.158,0.29,2016-17,16,0.875,115.5,105.0,10.4,15
Atlanta Hawks,59,0.305,0.514,0.24100000000000002,0.155,0.272,0.5379999999999999,0.247,0.161,0.29600000000000004,2017-18,17,0.41200000000000003,106.4,110.2,-3.8,6
Boston Celtics,59,0.6779999999999999,0.514,0.24,0.14300000000000002,0.26,0.488,0.261,0.146,0.265,2017-18,15,0.4,105.0,106.8,-1.8,15
Brooklyn Nets,59,0.322,0.505,0.264,0.153,0.259,0.514,0.267,0.12300000000000001,0.262,2017-18,16,0.188,105.9,113.4,-7.5,9
Charlotte Hornets,57,0.42100000000000004,0.49700000000000005,0.309,0.129,0.276,0.528,0.218,0.142,0.231,2017-18,16,0.5,111.3,111.1,0.3,12
Chicago Bulls,57,0.35100000000000003,0.5,0.215,0.13699999999999998,0.244,0.534,0.23399999999999999,0.13,0.233,2017-18,14,0.28600000000000003,105.1,110.7,-5.6,7
Cleveland Cavaliers,56,0.607,0.547,0.27899999999999997,0.14300000000000002,0.23600000000000002,0.542,0.21899999999999997,0.13699999999999998,0.272,2017-18,14,0.5710000000000001,110.8,113.1,-2.3,16
Dallas Mavericks,58,0.31,0.515,0.22399999999999998,0.128,0.222,0.535,0.262,0.146,0.249,2017-18,14,0.214,106.2,109.8,-3.7,6
Denver Nuggets,58,0.552,0.531,0.25,0.155,0.302,0.541,0.228,0.146,0.254,2017-18,15,0.667,114.4,112.5,1.9,14
Detroit Pistons,57,0.491,0.512,0.228,0.14,0.27,0.526,0.22399999999999998,0.155,0.256,2017-18,16,0.375,107.3,109.5,-2.2,11
Golden State Warriors,58,0.759,0.579,0.24600000000000002,0.157,0.252,0.498,0.25,0.141,0.28800000000000003,2017-18,14,0.643,114.1,109.5,4.6,14
